"Key";"Source";"Translation";"Context"
"pedia.fossil.diet.passive.desc";"This animal feeds itself passively when on dirt or sand.";"Dieses Tier ernährt sich passiv, solange es auf Erde oder Sand steht.";""
"pedia.fossil.diet.piscivore.desc";"This animal eats fish.";"Dieses Tier frisst Fisch.";""
"pedia.fossil.diet.pisci_carnivore.desc";"This animal eats both fish and meat.";"Dieses Tier frisst Fisch und Fleisch.";""
"pedia.fossil.egg";"%s Egg";"%ss Ei";"Keep the variable %s. It will be replaced with the translated name of the mob"
"pedia.fossil.egg.time";"Hatch Progress: %s%%";"Schlüpffortschritt: %s%%";"Keep the variable %s and the %%. It will be replaced with a percentage"
"pedia.fossil.egg.status";"Status: %s";"Status: %s";"Keep the variable %s. It will be replaced with the translated name of the status"
"pedia.fossil.egg.status.cold";"Cold";"Kalt";""
"pedia.fossil.egg.status.warm";"Warm";"Warm";""
"pedia.fossil.egg.status.wet";"Wet";"Feucht";""
"pedia.fossil.gender";"Gender: %s";"Geschlecht: %s";"Keep the variable %s. It will be replaced with the translated name of the gender"
"pedia.fossil.gender.female";"Female";"Weibchen";""
"pedia.fossil.gender.male";"Male";"Männchen";""
"pedia.fossil.health";"Health: %s";"Gesundheit:";"Keep the variable %s. It will be replaced with a number"
"pedia.fossil.hunger";"Hunger: %s";"Hunger: %s";"Keep the variable %s. It will be replaced with a number"
"pedia.fossil.mood_status";"This mob's mood is %s";"Die Stimmung dieses Tiers ist %s";"Keep the variable %s. It will be replaced with the translated name of the mood"
"pedia.fossil.mood.angry";"This mob is angry.";"Dieses Tier ist wütend.";""
"pedia.fossil.mood.calm";"This mob is calm.";"Dieses Tier ist ruhig.";""
"pedia.fossil.mood.content";"This mob is content.";"Dieses Tier ist zufrieden.";""
"pedia.fossil.mood.happy";"This mob is happy.";"Dieses Tier ist glücklich.";""
"pedia.fossil.mood.sad";"This mob is sad.";"Dieses Tier ist traurig.";""
"pedia.fossil.mood.angry.desc";"It will attack on sight.";"Es wird auf Sicht angreifen.";""
"pedia.fossil.mood.calm.desc";"It will attack only if hungry.";"Es greift nur an, wenn hungrig.";""
"pedia.fossil.mood.content.desc";"It will not attack you.";"Es wird dich nicht angreifen.";""
"pedia.fossil.mood.happy.desc";"It will not attack you.";"Es wird dich nicht angreifen.";""
"pedia.fossil.mood.sad.desc";"It will attack on sight.";"Es wird auf Sicht angreifen.";""
"pedia.fossil.order";"Current Order: %s";"Aktueller Befehl: %s";"Keep the variable %s. It will be replaced with the translated name of the order"
"pedia.fossil.order.item";"Order Item: %s";"Befehls-Item: %s";"Keep the variable %s. It will be replaced with the translated name of the item"
"pedia.fossil.order.follow";"Follow";"Folgen";""
"pedia.fossil.order.stay";"Stay";"Bleiben";""
"pedia.fossil.order.wander";"Wander";"Wandern";""
"pedia.fossil.order.follow.desc";"This mob will follow its owner.";"Dieses Tier wird seinem Besitzer folgen.";""
"pedia.fossil.order.stay.desc";"This mob will not move.";"Dieses Tier wird sich nicht bewegen.";""
"pedia.fossil.order.wander.desc";"This mob is free to wander around.";"Dieses Tier kann frei umherziehen.";""
"pedia.fossil.owner";"Owner: %s";"Besitzer: %s";"Keep the variable %s. It will be replaced with the name of a player"
"pedia.fossil.population";"Max Population: %s";"Max. Population: %s";"Keep the variable %s. It will be replaced with a number"
"pedia.fossil.pregnant";"Pregnant %s";"Schwanger: %s";"Keep the variable %s. It will be replaced with the translated name of the mob"
"pedia.fossil.pregnantTime";"Embryo Progress: %s%%";"Embryofortschritt: %s%%";"Keep the variable %s and the %%. It will be replaced with a percentage"
"pedia.fossil.temperament";"Temperament: %s";"Temperament: %s";"Keep the variable %s. It will be replaced with the translated name of the temperament"
"pedia.fossil.temperament.aggressive";"Aggressive";"Aggressiv";""
"pedia.fossil.temperament.calm";"Calm";"Ruhig";""
"pedia.fossil.temperament.scared";"Timid";"Zaghaft";""
"pedia.fossil.temperament.territorial";"Territorial";"Territorial";""
"pedia.fossil.temperament.water_aggressive";"Aggressive";"Aggressiv";""
"pedia.fossil.temperament.water_calm";"Calm";"Ruhig";""
"pedia.fossil.temperament.aggressive.desc";"This mob attacks other mobs.";"Dieses Tier greift andere Tiere an.";""
"pedia.fossil.temperament.calm.desc";"This mob is not scared by other mobs.";"Dieses Tier hat keine Angst vor anderen Tieren.";""
"pedia.fossil.temperament.scared.desc";"This mob runs from other mobs.";"Dieses Tier läuft von anderen Tieren davon.";""
"pedia.fossil.temperament.territorial.desc";"This mob will attack other mobs that are close.";"Dieses Tier wird andere Tiere in der Nähe angreifen.";""
"pedia.fossil.temperament.water_aggressive.desc";"This mob attacks other mobs.";"Dieses Tier greift andere Tiere an.";""
"pedia.fossil.temperament.water_calm.desc";"This mob is not scared by other mobs.";"Dieses Tier hat keine Angst vor anderen Tieren.";""
"pedia.fossil.untamed";"Untamed";"Ungezähmt";""
"category.fossil.rei.analyzer";"Analyzing";"Analysieren";""
"category.fossil.rei.culture_vat";"Cultivating";"Kultivieren";""
"category.fossil.rei.sifter";"Sifting";"Sieben";""
"category.fossil.rei.worktable";"Repairing";"Reparieren";""
"category.fossil.controls";"Fossils and Archeology";"Fossils and Archeology";""
"key.fossil.fly_up";"Fly up";"Hochfliegen";""
"key.fossil.fly_down";"Fly down";"Herunterfliegen";""
"filter.fossil.figurines";"Figurines";"Figuren";""
"filter.fossil.filter_bones";"Bones";"Bones";""
"filter.fossil.filter_buckets";"Mob Buckets";"Mob Eimer";""
"filter.fossil.filter_building_blocks";"Building Blocks";"Baublöcke";""
"filter.fossil.filter_dna";"DNA";"DNS";""
"filter.fossil.filter_eggs";"Eggs";"Eier";""
"filter.fossil.filter_machines";"Machines";"Maschinen";""
"filter.fossil.filter_meat";"Meat";"Fleisch";""
"filter.fossil.filter_other";"Produce";"Erzeugnisse";""
"filter.fossil.filter_plants";"Plants";"Pflanzen";""
"filter.fossil.filter_trees";"Trees & Woods";"Bäume & Holz";""
"filter.fossil.filter_unbreakable";"Unbreakable";"Unzerbrechbar";""
"filter.fossil.filter_vases";"Vases";"Vasen";""
"filter.fossil.filter_park";"Park";"Park";""
"subtitle.fossil.anu_cough";"Anu coughs";"Anu hustet";""
"subtitle.fossil.anu_death";"Anu dies";"Anu stirbt";""
"subtitle.fossil.anu_laugh";"Anu laughs";"Anu lacht";""
"subtitle.fossil.anu_totem";"Anu Totem awakens";"Anu-Totem erwacht";""
"subtitle.fossil.drum_single";"Drum plays";"Trommel spielt";""
"subtitle.fossil.tar";"Tar pops";"Teer blubbert";""
"subtitle.fossil.whip";"Whip cracked";"Peitsche knallt";""
"subtitle.fossil.allosaurus_ambient";"Allosaurus grumbles";"Allosaurus grummelt";""
"subtitle.fossil.allosaurus_hurt";"Allosaurus hurts";"Allosaurus nimmt Schaden";""
"subtitle.fossil.allosaurus_death";"Allosaurus dies";"Allosaurus stirbt";""
"subtitle.fossil.ankylosaurus_ambient";"Ankylosaurus grunts";"Ankylosaurus grunzt";""
"subtitle.fossil.ankylosaurus_hurt";"Ankylosaurus hurts";"Ankylosaurus nimmt Schaden";""
"subtitle.fossil.ankylosaurus_death";"Ankylosaurus dies";"Ankylosaurus stirbt";""
"subtitle.fossil.arthropleura_ambient";"Arthropleura scuttles";"Arthropleura krabbelt";""
"subtitle.fossil.arthropleura_hurt";"Arthropleura hurts";"Arthropleura nimmt Schaden";""
"subtitle.fossil.arthropleura_death";"Arthropleura dies";"Arthropleura stirbt";""
"subtitle.fossil.arthropleura_walk";"Arthropleura scuttles";"Arthropleura krabbelt";""
"subtitle.fossil.brachiosaurus_ambient";"Brachiosaurus rumbles";"Brachiosaurus grollt";""
"subtitle.fossil.brachiosaurus_hurt";"Brachiosaurus hurts";"Brachiosaurus nimmt Schaden";""
"subtitle.fossil.brachiosaurus_death";"Brachiosaurus dies";"Brachiosaurus stirbt";""
"subtitle.fossil.ceratosaurus_ambient";"Ceratosaurus breathes";"Ceratosaurus atmet";""
"subtitle.fossil.ceratosaurus_hurt";"Ceratosaurus hurts";"Ceratosaurus nimmt Schaden";""
"subtitle.fossil.ceratosaurus_death";"Ceratosaurus dies";"Ceratosaurus stirbt";""
"subtitle.fossil.citipati_ambient";"Citipati clucks";"Citipati gackert";""
"subtitle.fossil.citipati_hurt";"Citipati hurts";"Citipati nimmt Schaden";""
"subtitle.fossil.citipati_death";"Citipati dies";"Citipati stirbt";""
"subtitle.fossil.compsognathus_ambient";"Compsognathus chirps";"Compsognathus zwitschert";""
"subtitle.fossil.compsognathus_hurt";"Compsognathus hurts";"Compsognathus nimmt Schaden";""
"subtitle.fossil.compsognathus_death";"Compsognathus dies";"Compsognathus stirbt";""
"subtitle.fossil.confuciusornis_ambient";"Confuciusornis calls";"Confuciusornis ruft";""
"subtitle.fossil.confuciusornis_hurt";"Confuciusornis hurts";"Confuciusornis nimmt Schaden";""
"subtitle.fossil.confuciusornis_death";"Confuciusornis dies";"Confuciusornis stirbt";""
"subtitle.fossil.deinonychus_ambient";"Deinonychus screeches";"Deinonychus kreischt";""
"subtitle.fossil.deinonychus_hurt";"Deinonychus hurts";"Deinonychus nimmt Schaden";""
"subtitle.fossil.deinonychus_death";"Deinonychus dies";"Deinonychus stirbt";""
"subtitle.fossil.dilophosaurus_ambient";"Dilophosaurus screeches";"Dilophosaurus kreischt";""
"subtitle.fossil.dilophosaurus_hurt";"Dilophosaurus hurts";"Dilophosaurus nimmt Schaden";""
"subtitle.fossil.dilophosaurus_death";"Dilophosaurus dies";"Dilophosaurus stirbt";""
"subtitle.fossil.diplodocus_ambient";"Diplodocus rumbles";"Diplodocus grollt";""
"subtitle.fossil.diplodocus_hurt";"Diplodocus hurts";"Diplodocus nimmt Schaden";""
"subtitle.fossil.diplodocus_death";"Diplodocus dies";"Diplodocus stirbt";""
"subtitle.fossil.dodo_ambient";"Dodo squawks";"Dodo quäkt";""
"subtitle.fossil.dodo_hurt";"Dodo hurts";"Dodo nimmt Schaden";""
"subtitle.fossil.dodo_death";"Dodo dies";"Dodo stirbt";""
"subtitle.fossil.dryosaurus_ambient";"Dryosaurus chirps";"Dryosaurus zwitschert";""
"subtitle.fossil.dryosaurus_hurt";"Dryosaurus hurts";"Dryosaurus nimmt Schaden";""
"subtitle.fossil.dryosaurus_death";"Dryosaurus dies";"Dryosaurus stirbt";""
"subtitle.fossil.edaphosaurus_ambient";"Edaphosaurus growls";"Edaphosaurus knurrt";""
"subtitle.fossil.edaphosaurus_hurt";"Edaphosaurus hurts";"Edaphosaurus nimmt Schaden";""
"subtitle.fossil.edaphosaurus_death";"Edaphosaurus dies";"Edaphosaurus stirbt";""
"subtitle.fossil.elasmotherium_ambient";"Elasmotherium snorts";"Elasmotherium schnaubt";""
"subtitle.fossil.elasmotherium_hurt";"Elasmotherium hurts";"Elasmotherium nimmt Schaden";""
"subtitle.fossil.elasmotherium_death";"Elasmotherium dies";"Elasmotherium stirbt";""
"subtitle.fossil.gallimimus_ambient";"Gallimimus screeches";"Gallimimus kreischt";""
"subtitle.fossil.gallimimus_hurt";"Gallimimus hurts";"Gallimimus nimmt Schaden";""
"subtitle.fossil.gallimimus_death";"Gallimimus dies";"Gallimimus stirbt";""
"subtitle.fossil.henodus_ambient";"Henodus growls";"Henodus knurrt";""
"subtitle.fossil.henodus_hurt";"Henodus hurts";"Henodus nimmt Schaden";""
"subtitle.fossil.henodus_death";"Henodus dies";"Henodus stirbt";""
"subtitle.fossil.ichthyosaurus_ambient";"Ichthyosaurus echoes";"Ichthyosaurus hallt";""
"subtitle.fossil.ichthyosaurus_hurt";"Ichthyosaurus hurts";"Ichthyosaurus nimmt Schaden";""
"subtitle.fossil.ichthyosaurus_death";"Ichthyosaurus dies";"Ichthyosaurus stirbt";""
"subtitle.fossil.ichthyosaurus_ambient_outside";"Ichthyosaurus bubbles";"Ichthyosaurus blubbert";"subtitle.fossil.ichthyosaurus_ambient_outside"
"subtitle.fossil.liopleurodon_ambient_inside";"Liopleurodon growls";"Liopleurodon knurrt";""
"subtitle.fossil.liopleurodon_ambient_outside";"Liopleurodon bubbles";"Liopleurodon blubbert";""
"subtitle.fossil.liopleurodon_hurt";"Liopleurodon hurts";"Liopleurodon nimmt Schaden";""
"subtitle.fossil.liopleurodon_attack";"Liopleurodon attacks";"Liopleurodon greift an";""
"subtitle.fossil.liopleurodon_death";"Liopleurodon dies";"Liopleurodon stirbt";""
"subtitle.fossil.mammoth_ambient";"Mammoth trumpets";"Mammut trompetet";""
"subtitle.fossil.mammoth_hurt";"Mammoth hurts";"Mammut nimmt Schaden";""
"subtitle.fossil.mammoth_death";"Mammoth dies";"Mammut stirbt";""
"subtitle.fossil.megalania_ambient";"Megalania grumbles";"Megalania knurrt";""
"subtitle.fossil.megalania_hurt";"Megalania hurts";"Megalania nimmt Schaden";""
"subtitle.fossil.megalania_death";"Megalania dies";"Megalania stirbt";""
"subtitle.fossil.megaloceros_ambient";"Megaloceros grunts";"Megaloceros röhrt";""
"subtitle.fossil.megaloceros_hurt";"Megaloceros hurts";"Megaloceros nimmt Schaden";""
"subtitle.fossil.megaloceros_death";"Megaloceros dies";"Megaloceros stirbt";""
"subtitle.fossil.megalodon_ambient";"Megalodon swims";"Megalodon schwimmt";""
"subtitle.fossil.megalodon_hurt";"Megalodon hurts";"Megalodon nimmt Schaden";""
"subtitle.fossil.megalodon_hurt_outside";"Megalodon hurts";"Megalodon nimmt Schaden";""
"subtitle.fossil.megalodon_death";"Megalodon dies";"Megalodon stirbt";""
"subtitle.fossil.megalograptus_ambient";"Megalograptus scuttles";"Megalograptus krabbelt";""
"subtitle.fossil.megalograptus_hurt";"Megalograptus hurts";"Megalograptus nimmt Schaden";""
"subtitle.fossil.megalograptus_death";"Megalograptus dies";"Megalograptus stirbt";""
"subtitle.fossil.meganeura_ambient";"Meganeura buzzes";"Meganeura brummt";""
"subtitle.fossil.meganeura_hurt";"Meganeura hurts";"Meganeura nimmt Schaden";""
"subtitle.fossil.meganeura_death";"Meganeura dies";"Meganeura stirbt";""
"subtitle.fossil.mosasaurus_ambient_inside";"Mosasaurus roars";"Mosasaurus brüllt";""
"subtitle.fossil.mosasaurus_ambient_outside";"Mosasaurus bubbles";"Mosasaurus blubbert";""
"subtitle.fossil.mosasaurus_hurt";"Mosasaurus hurts";"Mosasaurus nimmt Schaden";""
"subtitle.fossil.mosasaurus_death";"Mosasaurus dies";"Mosasaurus stirbt";""
"subtitle.fossil.ornitholestes_ambient";"Ornitholestes creaks";"Ornitholestes krächzt";""
"subtitle.fossil.ornitholestes_hurt";"Ornitholestes hurts";"Ornitholestes nimmt Schaden";""
"subtitle.fossil.ornitholestes_death";"Ornitholestes dies";"Ornitholestes stirbt";""
"subtitle.fossil.pachycephalosaurus_ambient";"Pachycephalosaurus growls";"Pachycephalosaurus brüllt";""
"subtitle.fossil.pachycephalosaurus_hurt";"Pachycephalosaurus hurts";"Pachycephalosaurus nimmt Schaden";""
"subtitle.fossil.pachycephalosaurus_death";"Pachycephalosaurus dies";"Pachycephalosaurus stirbt";""
"subtitle.fossil.parasaurolophus_ambient";"Parasaurolophus calls";"Parasaurolophus ruft";""
"subtitle.fossil.parasaurolophus_hurt";"Parasaurolophus hurts";"Parasaurolophus nimmt Schaden";""
"subtitle.fossil.parasaurolophus_death";"Parasaurolophus dies";"Parasaurolophus stirbt";""
"subtitle.fossil.platybelodon_ambient";"Platybelodon trumpets";"Platybelodon trompetet";""
"subtitle.fossil.platybelodon_hurt";"Platybelodon hurts";"Platybelodon nimmt Schaden";""
"subtitle.fossil.platybelodon_death";"Platybelodon dies";"Platybelodon stirbt";""
"subtitle.fossil.plesiosaurus_ambient_inside";"Plesiosaurus chatters";"Plesiosaurus schnattert";""
"subtitle.fossil.plesiosaurus_ambient_outside";"Plesiosaurus chatters";"Plesiosaurus schnattert";""
"subtitle.fossil.plesiosaurus_hurt";"Plesiosaurus hurts";"Plesiosaurus nimmt Schaden";""
"subtitle.fossil.plesiosaurus_death";"Plesiosaurus dies";"Plesiosaurus stirbt";""
"subtitle.fossil.pteranodon_ambient";"Pteranodon chatters";"Pteranodon schnattert";""
"subtitle.fossil.pteranodon_hurt";"Pteranodon hurts";"Pteranodon nimmt Schaden";""
"subtitle.fossil.pteranodon_death";"Pteranodon dies";"Pteranodon stirbt";""
"subtitle.fossil.quagga_ambient";"Quagga snorts";"Quagga schnaubt";""
"subtitle.fossil.quagga_hurt";"Quagga hurts";"Quagga nimmt Schaden";""
"subtitle.fossil.quagga_death";"Quagga dies";"Quagga stirbt";""
"subtitle.fossil.sarcosuchus_baby_ambient";"Sarcosuchus peeps";"Sarcosuchus piept";""
"subtitle.fossil.sarcosuchus_ambient";"Sarcosuchus hisses";"Sarcosuchus faucht";""
"subtitle.fossil.sarcosuchus_hurt";"Sarcosuchus hurts";"Sarcosuchus nimmt Schaden";""
"subtitle.fossil.sarcosuchus_death";"Sarcosuchus dies";"Sarcosuchus stirbt";""
"subtitle.fossil.smilodon_ambient";"Smilodon grumbles";"Smilodon brüllt";""
"subtitle.fossil.smilodon_hurt";"Smilodon hurts";"Smilodon nimmt Schaden";""
"subtitle.fossil.smilodon_death";"Smilodon dies";"Smilodon stirbt";""
"subtitle.fossil.spinosaurus_ambient";"Spinosaurus breathes";"Spinosaurus atmet";""
"subtitle.fossil.spinosaurus_hurt";"Spinosaurus hurts";"Spinosaurus nimmt Schaden";""
"subtitle.fossil.spinosaurus_death";"Spinosaurus dies";"Spinosaurus stirbt";""
"subtitle.fossil.stegosaurus_ambient";"Stegosaurus growls";"Stegosaurus knurrt";""
"subtitle.fossil.stegosaurus_hurt";"Stegosaurus hurts";"Stegosaurus nimmt Schaden";""
"subtitle.fossil.stegosaurus_death";"Stegosaurus dies";"Stegosaurus stirbt";""
"subtitle.fossil.terror_bird_ambient";"Terror Bird squawks";"Terrorvogel krächzt";""
"subtitle.fossil.terror_bird_hurt";"Terror Bird hurts";"Terrorvogel nimmt Schaden";""
"subtitle.fossil.terror_bird_death";"Terror Bird dies";"Terrorvogel stirbt";""
"subtitle.fossil.therizinosaurus_ambient";"Therizinosaurus bellows";"Therizinosaurus ruft";""
"subtitle.fossil.therizinosaurus_hurt";"Therizinosaurus hurts";"Therizinosaurus nimmt Schaden";""
"subtitle.fossil.therizinosaurus_death";"Therizinosaurus dies";"Therizinosaurus stirbt";""
"subtitle.fossil.tiktaalik_ambient";"Tiktaalik bubbles";"Tiktaalik blubbert";""
"subtitle.fossil.tiktaalik_hurt";"Tiktaalik hurts";"Tiktaalik nimmt Schaden";""
"subtitle.fossil.tiktaalik_death";"Tiktaalik dies";"Tiktaalik stirbt";""
"subtitle.fossil.triceratops_ambient";"Triceratops screeches";"Triceratops ruft";""
"subtitle.fossil.triceratops_hurt";"Triceratops hurts";"Triceratops nimmt Schaden";""
"subtitle.fossil.triceratops_death";"Triceratops dies";"Triceratops stirbt";""
"subtitle.fossil.tyrannosaurus_ambient";"Tyrannosaurus roars";"Tyrannosaurus brüllt";""
"subtitle.fossil.tyrannosaurus_hurt";"Tyrannosaurus hurts";"Tyrannosaurus nimmt Schaden";""
"subtitle.fossil.tyrannosaurus_death";"Tyrannosaurus dies";"Tyrannosaurus stirbt";""
"subtitle.fossil.tyrannosaurus_roar";"Tyrannosaurus roars";"Tyrannosaurus brüllt";""
"subtitle.fossil.tyrannosaurus_weak";"Tyrannosaurus roars weakly";"Tyrannosaurus brüllt schwach";""
"subtitle.fossil.velociraptor_ambient";"Velociraptor screeches";"Velociraptor kreischt";""
"subtitle.fossil.velociraptor_hurt";"Velociraptor hurts";"Velociraptor nimmt Schaden";""
"subtitle.fossil.velociraptor_death";"Velociraptor dies";"Velociraptor stirbt";""
"fossil.jade.fish";"Fish: %s";"Fisch: %s";"Keep the variable %s. It will be replaced with a number"
"fossil.jade.meat";"Meat: %s";"Fleisch: %s";"Keep the variable %s. It will be replaced with a number"
"fossil.jade.plant";"Plants: %s";"Pflanzen: %s";"Keep the variable %s. It will be replaced with a number"
"fossil.midnightconfig.title";"Fossils and Archeology: Revival Config";"Fossils and Archeology: Revival Konfiguration";""
"fossil.midnightconfig.generate";"Generation Config";"Weltgenerierungskonfiguration";""
"fossil.midnightconfig.spawn";"Spawn Config";"Spawn-Konfiguration";""
"fossil.midnightconfig.mob";"Mob Config";"Kreaturenkonfiguration";""
"fossil.midnightconfig.machine";"Machine Config";"Maschinenkonfiguration";""
"fossil.midnightconfig.other";"Other";"Andere";""
"fossil.midnightconfig.generateHellShips";"Generate Hell Ships";"Höllenschiff generieren";""
"fossil.midnightconfig.generateHellShips.tooltip";"True if Hell Ships are to generate naturally";"True, wenn das Höllenschiff auf natürliche Weise entstehen soll";""
"fossil.midnightconfig.generateAcademy";"Generate Desert Academies";"Wüstenakademien generieren";""
"fossil.midnightconfig.generateAcademy.tooltip";"True if Desert Academies are to generate naturally";"True, wenn die Wüstenakademie auf natürliche Weise entstehen soll";""
"fossil.midnightconfig.generateAztecWeaponShops";"Generate Aztec Weapon Shops";"Aztekenwaffenwerkstatt generieren";""
"fossil.midnightconfig.generateAztecWeaponShops.tooltip";"True if Aztec Weapon Shops are to generate naturally";"True, wenn die Aztekenwaffenwerkstatt auf natürliche Weise entstehen soll";""
"fossil.midnightconfig.generateTemple";"Generate Aztec Temple";"Aztekentempel generieren";""
"fossil.midnightconfig.generateTemple.tooltip";"True if Aztec Temples are to generate naturally";"True, wenn der Aztekentempel auf natürliche Weise entstehen soll";""
"fossil.midnightconfig.generateFossils";"Generate Fossil Ores";"Fossilerz generieren";""
"fossil.midnightconfig.generateFossils.tooltip";"True if Fossil Ores are to generate naturally";"True, wenn Fossile auf natürliche Weise entstehen sollen";""
"fossil.midnightconfig.generatePermafrost";"Generate Permafrost";"Permafrost generieren";""
"fossil.midnightconfig.generatePermafrost.tooltip";"True if Permafrost Ore is to generate naturally";"True, wenn Permafrost auf natürliche Weise entstehen soll";""
"fossil.midnightconfig.generateVolcanicRock";"Generation Volcanic Rock";"Vulkanischen Felsen generieren";""
"fossil.midnightconfig.generateVolcanicRock.tooltip";"True if Volcanic Rock is to generate naturally";"True, wenn Vulkanischer Felsen auf natürliche Weise entstehen soll";""
"fossil.midnightconfig.generateMoai";"Generate Moai";"Moaistatue generieren";""
"fossil.midnightconfig.generateMoai.tooltip";"True if Moai Statues are to generate naturally";"True, wenn Moaistatuen auf natürliche Weise entstehen sollen";""
"fossil.midnightconfig.generateVolcanoBiome";"Generate Volcano Biome";"Vulkanbiom generieren";""
"fossil.midnightconfig.generateVolcanoBiome.tooltip";"True if Volcano Biomes are to generate naturally";"True, wenn Vulkanbiome auf natürliche Weise entstehen sollen";""
"fossil.midnightconfig.fossilOreRarity";"Fossil Ore Rarity";"Seltenheit von Fossilerz";""
"fossil.midnightconfig.fossilOreRarity.tooltip";"Rarity of Fossil ore. Higher number = more tries per chunk";"Höhere Nummer = mehr Versuche pro Chunk";""
"fossil.midnightconfig.permafrostRarity";"Permafrost Rarity";"Seltenheit von Permafrost";""
"fossil.midnightconfig.permafrostRarity.tooltip";"Rarity of Permafrost. Higher number = more tries per chunk";"Höhere Nummer = mehr Versuche pro Chunk";""
"fossil.midnightconfig.hellShipSpacing";"Hell Ship Spacing";"Höllenschiff Abstand";""
"fossil.midnightconfig.hellShipSpacing.tooltip";"Maximum number of chunks between Ship Structures";"Maximale Anzahl an Chunks zwischen Höllenschiffen";""
"fossil.midnightconfig.hellShipSeparation";"Hell Ship Separation";"Höllenschiff Trennung";""
"fossil.midnightconfig.hellShipSeparation.tooltip";"Minimum number of chunks between Ship Structures";"Minimale Anzahl an Chunks zwischen Höllenschiffen";""
"fossil.midnightconfig.moaiRarity";"Moai Statue Rarity";"Seltenheit von Moaistatuen";""
"fossil.midnightconfig.moaiRarity.tooltip";"Rarity of Moai Statues. Higher number = more rare";"Höhere Nummer = seltener";""
"fossil.midnightconfig.volcanoBiomeRarity";"Volcano Biome Rarity";"Vulkanbiom-Wahrscheinlichkeit";""
"fossil.midnightconfig.volcanoBiomeRarity.tooltip";"Volcano Biome Weight. Higher number = more common";"Höhere Nummer = wahrscheinlicher";""
"fossil.midnightconfig.spawnTarSlimes";"Spawn Tar Slimes";"Teerschleime erschaffen";""
"fossil.midnightconfig.spawnTarSlimes.tooltip";"True if Tar Slimes are to spawn naturally in tar pits";"True, wenn Teerschleime auf natürliche Weise in Teergruben entstehen sollen";""
"fossil.midnightconfig.spawnNautilus";"Spawn Nautilus";"Nautilus erschaffen";""
"fossil.midnightconfig.spawnNautilus.tooltip";"True if Nautilus are to spawn naturally in oceans";"True, wenn Nautilus auf natürliche Weise in Ozeanen entstehen sollen";""
"fossil.midnightconfig.spawnCoelacanth";"Spawn Coelacanth";"Quastenflosser erschaffen";""
"fossil.midnightconfig.spawnCoelacanth.tooltip";"True if Coelacanths are to spawn naturally in oceans";"True, wenn Quastenflosser auf natürliche Weise in Ozeanen entstehen sollen";""
"fossil.midnightconfig.fishArePersistent";"Player fish never despawn";"Fische des Spielers können nicht despawnen";""
"fossil.midnightconfig.fishArePersistent.tooltip";"True if fish spawned via fish egg item should never despawn";"Wahr, wenn Fische die der Spieler mit einem Fischei platziert hat nicht despawnen sollen";""
"fossil.midnightconfig.spawnAlligatorGar";"Spawn Alligator Gar";"Alligatorhecht erschaffen";""
"fossil.midnightconfig.spawnAlligatorGar.tooltip";"True if Alligator Gars are to spawn naturally in swamps";"True, wenn Alligatorhechte auf natürliche Weise in Sümpfen entstehen sollen";""
"fossil.midnightconfig.spawnSturgeon";"Spawn Sturgeon";"Stör erschaffen";""
"fossil.midnightconfig.spawnSturgeon.tooltip";"True if Sturgeons are to spawn naturally in rivers";"True, wenn Störe auf natürliche Weise in Flüssen entstehen sollen";""
"fossil.midnightconfig.tarSlimesSpawnRate";"Tar Slime Spawn Rate";"Teerschleim-Seltenheit";""
"fossil.midnightconfig.tarSlimesSpawnRate.tooltip";"Tar Slime Spawn Rarity. Higher number = more rare";"Höhere Nummer = seltener";""
"fossil.midnightconfig.alligatorGarSpawnWeight";"Alligator Gar Spawn Weight";"Alligatorhecht-Wahrscheinlichkeit";""
"fossil.midnightconfig.alligatorGarSpawnWeight.tooltip";"Alligator Gar Spawn Weight. Higher number = more common";"Höhere Nummer = wahrscheinlicher";""
"fossil.midnightconfig.coelacanthSpawnWeight";"Coelacanth Spawn Weight";"Quastenflosser-Wahrscheinlichkeit";""
"fossil.midnightconfig.coelacanthSpawnWeight.tooltip";"Coelacanth Spawn Weight. Higher number = more common";"Höhere Nummer = wahrscheinlicher";""
"fossil.midnightconfig.nautilusSpawnWeight";"Nautilus Spawn Weight";"Nautilus-Wahrscheinlichkeit";""
"fossil.midnightconfig.nautilusSpawnWeight.tooltip";"Nautilus Spawn Weight. Higher number = more common";"Höhere Nummer = wahrscheinlicher";""
"fossil.midnightconfig.sturgeonSpawnWeight";"Sturgeon Spawn Weight";"Stör-Wahrscheinlichkeit";""
"fossil.midnightconfig.sturgeonSpawnWeight.tooltip";"Sturgeon Spawn Weight. Higher number = more common";"Höhere Nummer = wahrscheinlicher";""
"fossil.midnightconfig.healingDinos";"Enable Dino Healing";"Dinoheilung aktivieren";""
"fossil.midnightconfig.healingDinos.tooltip";"True if Dinosaurs can be healed by hand feeding food";"True, wenn Dinos sich automatisch oder per Handfütterung heilen sollen";""
"fossil.midnightconfig.enableHunger";"Enable Hunger";"Hunger aktivieren";""
"fossil.midnightconfig.enableHunger.tooltip";"True if Dinosaurs have hunger";"True, wenn Hunger aktiviert sein soll";""
"fossil.midnightconfig.enableStarvation";"Enable Starvation";"Verhungern aktivieren";""
"fossil.midnightconfig.enableStarvation.tooltip";"True if Dinosaurs can die of hunger";"True, wenn Dinos verhungern können sollen";""
